system|sub_system|sub_sub_system|department
SWITCH 4|Lockpin|Motor Cylinder (COSMIC INDUSTRY) TYPE - BN1T FORM - 0.9J STROKE - 90MM POWER - 1000KG SPEED - 71 / 85 (MM/SEC) RATING - SPECIAL MIN VOLT - 400V /400V CYCLES - 50Hz / 60Hz AMP'S - 40A / 40A INSULATION - E MOTOR - 1.5 kW WEIGHT - 70KG MFG NO - J 2191311|TNMD
SWITCH 4|Lockpin|3 PHASE BRAKE MOTOR (ECONOSTOP YASKAWA ELECTRIC) TYPE - EELYQ-50 RATING - SPECIAL INS. CLASS - E kW - 1.5 POLES - 4 V - 400 / 400 HZ - 50 / 60 BRG . NO - 6204ZZ / 6204UU SER.NO - 6V53081|TNMD
SWITCH 4|Switch Beam|Arm guide|TNMD
SWITCH 4|Switch Beam|Finger plate switch beam|TNMD
SWITCH 4|Motor|Motor brake|TNMD
SWITCH 4|Motor|GEAR MOTOR (HITACHI) TYPE - T 0 2 6 POLES - 4 HERTZ - 50 kW - 1.5 RPM - 180 G.F TYPE - MH 438 J GEAR RATIO - 1 : 8 G.NO - U 80329 MFG NO - Y 79163706 DATE - 1997 THREE PHASE INDUCTION MOTOR (HITACHI) 1.5kW Y 79163702|TNMD
SWITCH 4|Gearbox assembly|Primary to secondary gearbox drive shaft couplings|TNMD
SWITCH 4|Gearbox assembly|Chain coupling (Attach Model Chain)|TNMD
SWITCH 4|Gearbox assembly|Reduction Gear SW1 GEARBOX 1 (PRIMARY) HITACHI TYPE - SCR-800 - BW X 2 MOTOR - 15kW GEAR RATIO - 1/35 OIL QTY - 105L WEIGHT - 2100KG MFG NO - 62646 SERIAL NO - 027|TNMD
SWITCH 4|Gearbox assembly|GEARBOX 2 HITACHI TYPE - SCR-280 - W X 1 MOTOR - 15kW GEAR RATIO - 1/35 OIL QTY - 43L WEIGHT - 1450KG MFG NO - 62646 SERIAL NO - 028|TNMD
SWITCH 4|Gearbox assembly|GEARBOX 3 HITACHI TYPE - SCR-280 - W X 1 MOTOR - 15kW GEAR RATIO - 1/35 OIL QTY - 43L WEIGHT - 1450KG MFG NO - 62646 SERIAL NO - 029|TNMD
SWITCH 4|Gearbox assembly|GEARBOX 3 HITACHI TYPE - SCR-280 - W X 1 MOTOR - 15kW GEAR RATIO - 1/35 OIL QTY - 43L WEIGHT - 1450KG MFG NO - 62646 SERIAL NO - 030|TNMD
SWITCH 4|Local Control Panel|100A, 3P, 600V Circuit Breaker (NS 100-160-250)|TNMD
SWITCH 4|Local Control Panel|60A, 3P, 600V Circuit Breaker (F&G PX-100)|TNMD
SWITCH 4|Local Control Panel|32A, 3P, 600V Circuit Breaker (F&G PX100)|TNMD
SWITCH 4|Local Control Panel|6A, 1P, 240V Circuit Breaker (MULTI 9 C45N)|TNMD
SWITCH 4|Local Control Panel|25A, 2P, 240V Circuit Breaker (MERLIN GERIN)|TNMD
SWITCH 4|Local Control Panel|25A, 2P, 240V Circuit Breaker (MULTI 9 C45N)|TNMD
SWITCH 4|Local Control Panel|QPS Transformer TYPE - 07331 PH - 1 PRIMARY VOLT - 240 SEC VOLT - 110 CAP - 500VA CYCLE 50HZ : 60HZ PRI AMP - 2.08 SEC AMP - 4.54 SERIAL NO - 181-113-1|TNMD
SWITCH 4|Local Control Panel|Compact Fluorescent Light 10W 240Vac (HITACHI PM115S-G)|TNMD
SWITCH 4|Local Control Panel|TIMER RELAY (AH-3)|TNMD
SWITCH 4|Local Control Panel|RELAY (OMRON MK2P-I|TNMD
SWITCH 4|Local Control Panel|Auxillary Contact (SC-4-0) Contact Block Aux Contact (SZ-A11)|TNMD
SWITCH 4|Local Control Panel|Emergency Stop Pushbutton, Red Push-Turn to Release (Telemecanique ZBE 102)|TNMD
SWITCH 4|Local Control Panel|Pushbutton, Flush Head, Normally Open (Telemecanique ZBE 101)|TNMD
SWITCH 4|Local Control Panel|24VDC Red LED Pilot Light (TELEMECANIQUE ZBV-G4)|TNMD
SWITCH 4|Local Control Panel|24VDC Yellow LED Pilot Light (TELEMECANIQUE ZBV-G5)|TNMD
SWITCH 4|Local Control Panel|24VDC Blue LED Pilot Light (TELEMECANIQUE ZBV-G1)|TNMD
SWITCH 4|Local Control Panel|24VDC Green LED Pilot Light (TELEMECANIQUE ZBV-G3)|TNMD
SWITCH 4|Local Control Panel|2 Position key-switch, 1 N/O and 2 N/C contacts, stay put with key withdrawal on LH (Telemecanique ZBE-101)|TNMD
SWITCH 4|FALLBACK PANEL|Magnetic Contactor Assembly H35, Forward - Reverse with Thermal Overload (HITACHI)|TNMD
SWITCH 4|FALLBACK PANEL|Magnetic Contactor Assembly H20, Forward - Reverse (HITACHI)|TNMD
SWITCH 4|FALLBACK PANEL|Magnetic Contactor Assembly H11 with Thermal Overload (HITACHI)|TNMD
SWITCH 4|FALLBACK PANEL|Motor S1M Brake Control (HITACHI)|TNMD
SWITCH 4|FALLBACK PANEL|AUXILLARY CONTACT|TNMD
