system|sub_system|sub_sub_system|root_cause|department
PAGS|(LCU) Local Control Unit|Push Button, flush green, Ø22, spring return 1NO|PLC hang|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush green, Ø22, spring return 1NO|Push button broken|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush green, Ø22, spring return 1NO|Diode broken|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|HMI hang|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|MCB issue|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|Relay issue|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|PLC hang|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|Push button broken|WS20
PAGS|(LCU) Local Control Unit|Push Button, flush red, Ø22, spring return 1NO|Diode broken|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|HMI hang|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|MCB issue|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|Relay issue|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|PLC hang|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|Push button broken|WS20
PAGS|(LCU) Local Control Unit|5 port unmanaged Ethernet switches|Diode broken|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|Power lost due to RCCB tripped|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|HMI hang|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|No connection on LCU network|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|Power supply burst|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|MCB issue|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|Relay issue|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|Selector switch broken|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|PLC hang|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|Push button broken|WS20
PAGS|(LCU) Local Control Unit|Terminal Block|Diode broken|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|Power lost due to RCCB tripped|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|HMI hang|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|No connection on LCU network|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|Power supply burst|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|MCB issue|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|Relay issue|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|Selector switch broken|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|PLC hang|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|Push button broken|WS20
PAGS|(PDB) Platform Distribution Box|Moulded case Circuit Breaker 4 Pole 50A|Diode broken|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|Power lost due to RCCB tripped|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|HMI hang|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|No connection on LCU network|WS20
PAGS|(PDB) Platform Distribution Box|Earth Leakage Breaker 3 Pole 30A|Power supply burst|WS20
